prenom,nom,qualite,entreprise,siren,ville,code_naf,site_web,email_public,source
FRANÇOIS,DHAUSSY,Directeur Général,CAFPI,510302953,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
JULIEN,LANGLADE,Président de SAS,CAFPI,510302953,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
,,Président de SAS,SYF (FINANCE CONSEIL) (FINANCE CONSEIL),490122538,PARIS,66.19B,https://www.financeconseil.fr,reclamation@financeconseil.fr,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
,,Directeur Général,SYF (FINANCE CONSEIL) (FINANCE CONSEIL),490122538,PARIS,66.19B,https://www.financeconseil.fr,reclamation@financeconseil.fr,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
LUDOVIC,HUZIEUX,Gérant,ARTEMIS COURTAGE (MODERATIO),512444282,PARIS,66.19B,https://www.artemiscourtage.com,confidentialite@artemisambitions.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
XAVIER,LACOMBE,Gérant,ARTEMIS COURTAGE (MODERATIO),512444282,PARIS,66.19B,https://www.artemiscourtage.com,confidentialite@artemisambitions.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
MATHIEU,PREVOST,Gérant,ARTEMIS COURTAGE (MODERATIO),512444282,PARIS,66.19B,https://www.artemiscourtage.com,confidentialite@artemisambitions.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
BERNARD ARMAND SIMON,DALBIEZ,Président du conseil de surveillance,CENTRE DE CONSEIL ET DE SERVICE -CCS,504514555,NANTES,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ANTONY JEAN DANIEL,PRISSETTE,Directeur Général,PREMIDIRECT,421422734,GONDREVILLE,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
,,Président de SAS,PREMIDIRECT,421422734,GONDREVILLE,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ISIDORO JOSE,ALANIS MARCOS,Président de SAS,GLOBAL EXCHANGE FRANCE CURRENCY SERVICES,893717215,TREMBLAY-EN-FRANCE,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
DORA,D'AMBROSIO,Président de SAS,VALORITY INVESTISSEMENT (VALORITY INVESTISSEMENT IMMOBILIER),442404356,LYON,66.19B,https://www.valority.com,serviceclient@valority.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
MAXIME CLÉMENT,LAUREYSSENS,Directeur Général,VALORITY INVESTISSEMENT (VALORITY INVESTISSEMENT IMMOBILIER),442404356,LYON,66.19B,https://www.valority.com,serviceclient@valority.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
CHRISTOPHE MARCEL CLAUDE,VERPILLOT,Directeur Général,VALORITY INVESTISSEMENT (VALORITY INVESTISSEMENT IMMOBILIER),442404356,LYON,66.19B,https://www.valority.com,serviceclient@valority.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
CHRISTOPHE MARCEL CLAUDE,VERPILLOT,Directeur Général,VALORITY CREDIT,483471157,LYON,66.19B,https://www.valority.com,serviceclient@valority.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
,,Président de SAS,VALORITY CREDIT,483471157,LYON,66.19B,https://www.valority.com,serviceclient@valority.com,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
GUIREC,PENHOAT,Président de SAS,FIDUCIAL CONSEIL EN ABREGE FINANCIAL,348168667,COURBEVOIE,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
FRED,VIANAS,Président de SAS,UFIFRANCE PATRIMOINE (UFF) (UFF),776042210,BOIS-COLOMBES,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
SYLVAIN,MEHARECHE,Directeur général délégué,PARTNERS FINANCES (PARTNERS FINANCES),404681496,NANCY,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
,,Président de SAS,PARTNERS FINANCES (PARTNERS FINANCES),404681496,NANCY,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
PHILIPPE,DE VANSSAY DE BLAVOUS,Gérant,MANAGE - IT,821013828,LE HAVRE,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
NICOLAS,PUECH,Gérant,MANAGE - IT,821013828,LE HAVRE,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
MASSOU,COHEN,Président de SAS,CLINIQUE CHAMPS-ELYSEES FRANCE,843623349,PARIS,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
TRACY,SAYAG (COHEN),Président de SAS,CLINIQUE CHAMPS-ELYSEES FRANCE,843623349,PARIS,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
JEAN-DIDIER,AURIOL,Gérant,PLURIFINANCES,495235368,OBERHAUSBERGEN,66.19B,https://www.plurifinances.fr,contact@plurifinances.fr,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
CELINE,FARRUDJA,Gérant,PLURIFINANCES,495235368,OBERHAUSBERGEN,66.19B,https://www.plurifinances.fr,contact@plurifinances.fr,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
,,Président de SAS,INTERNATIONAL CURRENCY EXCHANGE FRANCE,395175284,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
FRANCOIS,CASALONGA,Gérant,SCM LE FLORIDE,382457927,HYERES,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
MATHIEU,COMBES,Gérant,SCM LE FLORIDE,382457927,HYERES,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ANNE,DUMAS DE LA ROQUE,Gérant,SCM LE FLORIDE,382457927,HYERES,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
SANDRA,GAUTHIER CHALVIDAN (GAUTHIER),Gérant,SCM LE FLORIDE,382457927,HYERES,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
JULIEN,VACCARO,Gérant,SCM LE FLORIDE,382457927,HYERES,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
AURELIEN,NAUX,Président de SAS,CAP OR NUMISMATIQUE,531338572,SAINT-FLORENT,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
JULIEN,JOUBERT,Président de SAS,PRIVILEGE COURTAGE,824145304,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
GUILLAUME YANN,VACCON,Président de SAS,CREDISSIMMO FRANCE,811185388,ISLE ADAM,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
QUENTIN SYLVAIN,CORNEJO,Directeur Général,RIA FRANCE,493473003,GENNEVILLIERS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ARTHUR BRIAC ENDEOL,COSTE,Président de SAS,RIA FRANCE,493473003,GENNEVILLIERS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ANDRZEJ,KLAWITER,Président de SAS,SOCIETE DE DIFFUSION DE MAGASIN (SODIMA),652013624,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
AURELIEN NICOLAS ALAIN RENE,ANGUILLE,Gérant,CITY AND CO CENTRE LOIRE (CITY AND CO),849438866,TOURS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
THOMAS,LHOMME,Gérant,CITY AND CO CENTRE LOIRE (CITY AND CO),849438866,TOURS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
CEDRIC,LEBLANC,Gérant,CVL FINANCES (MAMENSUALITE.FR),751624701,VERQUIGNEUL,66.19B,https://www.mamensualite.fr,serviceclient@mamensualite.fr,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
JEREMIE JONATHAN,FHAL,Gérant,G ET F,484414743,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
PATRICK,THIBERGE,Président de SAS,MEILLEURTAUX PLACEMENT,494162233,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
THOMAS CYRIL VINCENT,VANDEVILLE,Président du conseil de surveillance,MEILLEURTAUX PLACEMENT,494162233,PARIS,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ARNAUD,ERULIN,Président du conseil d’administration,EDENRED FRANCE,393365135,MONTROUGE,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ILAN,OUANOUNOU,Président de SAS,EDENRED FRANCE,393365135,MONTROUGE,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
EMMANUEL JEAN,DUCASSE,Président de SAS,CONCILIAPRET,793504424,LYON,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
JEROME CHRISTIAN PAUL,MATON,Directeur Général,CONCILIAPRET,793504424,LYON,66.19B,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
MAGALI VALÉRIE,AUGER,Gérant,SCM IMAGERIE MEDICALE GCN,413508961,SAINT-GREGOIRE,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
ARNAUD GUY ROGER,GEFFRAY,Gérant,SCM IMAGERIE MEDICALE GCN,413508961,SAINT-GREGOIRE,66.19A,,,"recherche-entreprises.api.gouv.fr (RCS, donnee publique)"
